6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;6;6;6;6;6;6;6;3;6;6;6;2;2;2;6;6;6;2;6;6;6;6;6;6;6;6;2;2;6;2;2;5;5;6;6;6;6;2;6;2;2;0;2;6;6;6;6;6
6;6;6;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;6;3;6;6;6;6;6;0;3;6;6;6;6;6;6;6;2;6;6;6;6;6;6;6;6;6;6;2;2;6;2;2;6;2;2;6;6;6;2;6;2;2;2;0;6;6;6;6;6
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;6;6;3;6;6;6;6;6;6;6;3;6;6;6;2;6;2;6;6;6;6;6;6;2;6;6;6;6;6;2;6;6;2;2;2;2;6;6;6;2;2;2;6;2;2;6;6;6;6;6
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;6;6;6;6;6;6;6;6;2;6;6;6;6;2;6;2;6;6;2;2;6;6;6;2;2;6;6;6;6;6;2;6;6;2;6;6;6;6;2;2;2;6;2;2;6;6;6;6;6;6;6;6;6;6
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;6;6;6;2;6;2;6;6;2;2;6;6;6;2;2;2;6;6;6;6;2;6;6;6;2;2;5;3;2;2;5;6;5;6;2;6;6;6;6;6;6;6;6;6
6;6;6;6;7;6;6;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;2;6;6;6;6;6;6;2;2;2;6;6;6;6;6;6;6;6;2;2;2;6;3;2;2;0;0;6;5;2;2;6;6;0;6;6;6;6;6
6;6;4;6;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;6;6;6;6;6;3;6;6;6;6;2;2;6;6;6;2;6;6;6;6;2;2;6;6;6;6;6;2;2;2;2;2;2;2;2;2;2;2;6;6;2;2;6;6;6;6;6;6;6;6
6;6;4;4;6;6;6;6;6;6;6;0;0;6;6;6;5;6;6;2;4;4;2;2;6;6;6;6;6;6;6;6;6;3;6;6;6;6;6;2;6;3;2;2;6;6;2;6;6;6;6;6;2;2;2;2;2;2;2;2;3;2;2;2;2;6;6;6;6;6;6;6;2;6;2;6;6
6;6;3;6;6;6;6;6;6;6;6;0;0;6;6;6;6;6;6;6;6;4;6;6;6;6;6;6;6;6;6;7;7;7;4;6;6;6;6;6;2;3;6;6;6;2;2;6;6;6;6;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;6;2;6;6;6;2;6;6;6;2
7;7;6;6;6;6;6;6;6;6;6;0;0;6;6;6;6;6;6;2;2;6;6;6;6;6;6;6;6;6;6;7;7;7;7;6;7;6;6;6;2;6;3;6;2;2;6;6;6;6;6;6;6;2;2;2;2;2;2;2;2;2;2;2;2;6;6;5;6;6;6;6;2;2;6;6;6
